title,company,location,salary,posted_date,apply_link,description
Senior Frontend Engineer (Web),株式会社メルカリ,東京都港区 / フルリモート,年収 800万円〜1400万円 (残業代別途全額支給),2026-08-25,https://herp.careers/v1/mercari/senior-frontend-eng,Mercari Web版の新規機能開発およびアーキテクチャ刷新を担当。Next.js/TypeScript。固定残業代なし。完全週休2日制。
【急募！】自社内開発Webエンジニア（未経験可・月給35万〜）,株式会社トップテック・キャリア（掲載元：派遣紹介事業部）,東京都新宿区 / クライアント先常駐,月給 35万円〜 (固定残業代40時間分を含む),2026-04-10,https://jp.indeed.com/viewjob?jk=indeed_sample_01,自社内開発（案件による）。研修後クライアント先常駐案件に配属。急募！未経験歓迎。取引先50社以上。
Global Solutions Architect (Tokyo),Global Cloud Enterprise Japan (社名非公開・大手外資系IT),Tokyo Japan / Hybrid,年収 1500万〜2200万円,2026-03-01,https://www.linkedin.com/jobs/view/sample_02,Promoted Job. Over 250 applicants. Reposted 4 times. General talent pool for US cloud vendor. Submit resume to headhunter for talent pipeline.
【幹部候補・即日採用】マーケティング総合職,株式会社ドリームフロンティア,東京都豊島区池袋,月給 32万円 (固定残業代60時間分含む),2026-08-30,https://next.rikunabi.com/company/sample_03,アットホームな職場で若手が活躍！夢と感動を共有！面接1回のみ即日採用！未経験から即月給32万。固定残業代60時間分含む。試用期間は契約社員。
【オープンポジション】まずは気軽に遊びに来ませんか？,株式会社クリエイティブバズ,東京都渋谷区道玄坂,面談時相談,2025-11-15,https://www.wantedly.com/projects/sample_04,シゴトでココロオドル人を増やす。カジュアル面談歓迎！オープンポジションで適性に応じて相談。優秀な方がいれば随時ポジション検討。
一般事務およびデータ入力作業員,有限会社山田商事,神奈川県横浜市,月給 18万円〜20万円,2026-01-15,https://www.hellowork.mhlw.go.jp/kensaku/sample_05,簡単な伝票整理とパソコン入力。直近応募者数35名採用実績0名の継続空頭求人。
Machine Learning Engineer (LLM),LINEヤフー株式会社,東京都千代田区,年収 900万〜1600万円,2026-09-02,https://smarthr.co.jp/careers/line-yahoo-ml,LINEおよびYahoo! JAPANの大規模LLM基盤開発。専門業務型裁量労働制。リモートワーク可。
【高額日給3万円即日現金】荷物受取転送サポート！ホワイト案件,グローバルロジスティクス合同会社,完全在宅,日給 3万円〜5万円 (即日現金),2026-09-05,,スマホ1台でコピペするだけ。自宅に届いた荷物を転送。口座開設をお願いする場合あり。連絡はTelegramまたはSignalまで。履歴書不要。
【急募！】自社内開発Webエンジニア（未経験可・月給35万〜）,株式会社トップテック・キャリア（掲載元：派遣紹介事業部）,東京都新宿区 / クライアント先常駐,月給 35万円〜 (固定残業代40時間分を含む),2026-08-01,https://jp.indeed.com/viewjob?jk=indeed_sample_01_repost,（第2筆同公司重貼測試）自社内開発（案件による）。研修後クライアント先常駐案件に配屬。急募！
【自社SaaS開発】バックエンドエンジニア (Go / AWS),クラウドインサイト株式会社,東京都品川区大崎,年収 650万〜900万円 (固定残業30時間含む),2026-08-20,https://doda.jp/job/sample_06,自社SaaSバックエンド開発。月給45万円〜(固定残業30時間分含む。超過分全額支給)。リモートワーク推奨。
